datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-11,2015-01-11,12:00,RJ - Cidade de Deus,RJ39,MP10,56.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,RJ - Cidade de Deus,RJ39,MP10,53.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,RJ - Cidade de Deus,RJ39,MP10,75.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,RJ - Cidade de Deus,RJ39,MP10,51.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-04,2015-02-04,12:00,RJ - Cidade de Deus,RJ39,MP10,54.0,ug/m3,manual,2015,2,4,12,2015-02-04 12:00:00
2015-02-10,2015-02-10,12:00,RJ - Cidade de Deus,RJ39,MP10,55.0,ug/m3,manual,2015,2,10,12,2015-02-10 12:00:00
2015-02-16,2015-02-16,12:00,RJ - Cidade de Deus,RJ39,MP10,31.0,ug/m3,manual,2015,2,16,12,2015-02-16 12:00:00
2015-02-22,2015-02-22,12:00,RJ - Cidade de Deus,RJ39,MP10,29.0,ug/m3,manual,2015,2,22,12,2015-02-22 12:00:00
2015-02-28,2015-02-28,12:00,RJ - Cidade de Deus,RJ39,MP10,39.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,RJ - Cidade de Deus,RJ39,MP10,61.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-05-05,2015-05-05,12:00,RJ - Cidade de Deus,RJ39,MP10,61.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,RJ - Cidade de Deus,RJ39,MP10,31.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,RJ - Cidade de Deus,RJ39,MP10,48.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,RJ - Cidade de Deus,RJ39,MP10,82.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-06-04,2015-06-04,12:00,RJ - Cidade de Deus,RJ39,MP10,78.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-22,2015-06-22,12:00,RJ - Cidade de Deus,RJ39,MP10,86.0,ug/m3,manual,2015,6,22,12,2015-06-22 12:00:00
2015-06-28,2015-06-28,12:00,RJ - Cidade de Deus,RJ39,MP10,64.0,ug/m3,manual,2015,6,28,12,2015-06-28 12:00:00
2015-07-04,2015-07-04,12:00,RJ - Cidade de Deus,RJ39,MP10,48.0,ug/m3,manual,2015,7,4,12,2015-07-04 12:00:00
2015-07-10,2015-07-10,12:00,RJ - Cidade de Deus,RJ39,MP10,89.0,ug/m3,manual,2015,7,10,12,2015-07-10 12:00:00
2015-07-16,2015-07-16,12:00,RJ - Cidade de Deus,RJ39,MP10,109.0,ug/m3,manual,2015,7,16,12,2015-07-16 12:00:00
2015-07-22,2015-07-22,12:00,RJ - Cidade de Deus,RJ39,MP10,55.0,ug/m3,manual,2015,7,22,12,2015-07-22 12:00:00
2015-07-28,2015-07-28,12:00,RJ - Cidade de Deus,RJ39,MP10,52.0,ug/m3,manual,2015,7,28,12,2015-07-28 12:00:00
2015-08-03,2015-08-03,12:00,RJ - Cidade de Deus,RJ39,MP10,87.0,ug/m3,manual,2015,8,3,12,2015-08-03 12:00:00
2015-08-09,2015-08-09,12:00,RJ - Cidade de Deus,RJ39,MP10,43.0,ug/m3,manual,2015,8,9,12,2015-08-09 12:00:00
2015-08-15,2015-08-15,12:00,RJ - Cidade de Deus,RJ39,MP10,82.0,ug/m3,manual,2015,8,15,12,2015-08-15 12:00:00
2015-08-21,2015-08-21,12:00,RJ - Cidade de Deus,RJ39,MP10,52.0,ug/m3,manual,2015,8,21,12,2015-08-21 12:00:00
2015-08-27,2015-08-27,12:00,RJ - Cidade de Deus,RJ39,MP10,54.0,ug/m3,manual,2015,8,27,12,2015-08-27 12:00:00
2015-09-02,2015-09-02,12:00,RJ - Cidade de Deus,RJ39,MP10,65.0,ug/m3,manual,2015,9,2,12,2015-09-02 12:00:00
2015-09-08,2015-09-08,12:00,RJ - Cidade de Deus,RJ39,MP10,48.0,ug/m3,manual,2015,9,8,12,2015-09-08 12:00:00
2015-09-20,2015-09-20,12:00,RJ - Cidade de Deus,RJ39,MP10,41.0,ug/m3,manual,2015,9,20,12,2015-09-20 12:00:00
2015-09-26,2015-09-26,12:00,RJ - Cidade de Deus,RJ39,MP10,63.0,ug/m3,manual,2015,9,26,12,2015-09-26 12:00:00
2015-10-02,2015-10-02,12:00,RJ - Cidade de Deus,RJ39,MP10,53.0,ug/m3,manual,2015,10,2,12,2015-10-02 12:00:00
2015-10-08,2015-10-08,12:00,RJ - Cidade de Deus,RJ39,MP10,82.0,ug/m3,manual,2015,10,8,12,2015-10-08 12:00:00
2015-10-14,2015-10-14,12:00,RJ - Cidade de Deus,RJ39,MP10,128.0,ug/m3,manual,2015,10,14,12,2015-10-14 12:00:00
2015-10-20,2015-10-20,12:00,RJ - Cidade de Deus,RJ39,MP10,71.0,ug/m3,manual,2015,10,20,12,2015-10-20 12:00:00
2015-10-26,2015-10-26,12:00,RJ - Cidade de Deus,RJ39,MP10,60.0,ug/m3,manual,2015,10,26,12,2015-10-26 12:00:00
2015-11-01,2015-11-01,12:00,RJ - Cidade de Deus,RJ39,MP10,40.0,ug/m3,manual,2015,11,1,12,2015-11-01 12:00:00
2015-11-07,2015-11-07,12:00,RJ - Cidade de Deus,RJ39,MP10,25.0,ug/m3,manual,2015,11,7,12,2015-11-07 12:00:00
2015-11-13,2015-11-13,12:00,RJ - Cidade de Deus,RJ39,MP10,65.0,ug/m3,manual,2015,11,13,12,2015-11-13 12:00:00
2015-11-19,2015-11-19,12:00,RJ - Cidade de Deus,RJ39,MP10,64.0,ug/m3,manual,2015,11,19,12,2015-11-19 12:00:00
2015-11-25,2015-11-25,12:00,RJ - Cidade de Deus,RJ39,MP10,68.0,ug/m3,manual,2015,11,25,12,2015-11-25 12:00:00
2015-12-01,2015-12-01,12:00,RJ - Cidade de Deus,RJ39,MP10,51.0,ug/m3,manual,2015,12,1,12,2015-12-01 12:00:00
2015-12-07,2015-12-07,12:00,RJ - Cidade de Deus,RJ39,MP10,31.0,ug/m3,manual,2015,12,7,12,2015-12-07 12:00:00
2015-12-31,2015-12-31,12:00,RJ - Cidade de Deus,RJ39,MP10,86.0,ug/m3,manual,2015,12,31,12,2015-12-31 12:00:00
2015-01-11,2015-01-11,12:00,RJ - Cidade de Deus,RJ39,MP2.5,12.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,RJ - Cidade de Deus,RJ39,MP2.5,15.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,RJ - Cidade de Deus,RJ39,MP2.5,6.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,RJ - Cidade de Deus,RJ39,MP2.5,18.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
