datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-11,2015-01-11,12:00,Cp - Centro,RJ73,PTS,51.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,Cp - Centro,RJ73,PTS,77.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,Cp - Centro,RJ73,PTS,60.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,Cp - Centro,RJ73,PTS,77.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-04,2015-02-04,12:00,Cp - Centro,RJ73,PTS,70.0,ug/m3,manual,2015,2,4,12,2015-02-04 12:00:00
2015-02-22,2015-02-22,12:00,Cp - Centro,RJ73,PTS,38.0,ug/m3,manual,2015,2,22,12,2015-02-22 12:00:00
2015-02-28,2015-02-28,12:00,Cp - Centro,RJ73,PTS,86.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,Cp - Centro,RJ73,PTS,40.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,Cp - Centro,RJ73,PTS,57.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,Cp - Centro,RJ73,PTS,58.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-03-24,2015-03-24,12:00,Cp - Centro,RJ73,PTS,91.0,ug/m3,manual,2015,3,24,12,2015-03-24 12:00:00
2015-03-30,2015-03-30,12:00,Cp - Centro,RJ73,PTS,43.0,ug/m3,manual,2015,3,30,12,2015-03-30 12:00:00
2015-04-05,2015-04-05,12:00,Cp - Centro,RJ73,PTS,35.0,ug/m3,manual,2015,4,5,12,2015-04-05 12:00:00
2015-04-11,2015-04-11,12:00,Cp - Centro,RJ73,PTS,55.0,ug/m3,manual,2015,4,11,12,2015-04-11 12:00:00
2015-04-23,2015-04-23,12:00,Cp - Centro,RJ73,PTS,66.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,Cp - Centro,RJ73,PTS,149.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,Cp - Centro,RJ73,PTS,63.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,Cp - Centro,RJ73,PTS,65.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,Cp - Centro,RJ73,PTS,69.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,Cp - Centro,RJ73,PTS,64.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,Cp - Centro,RJ73,PTS,48.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,Cp - Centro,RJ73,PTS,52.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
